num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
0,-15.30268,0.01286,0.01829,789.0,273.21087,-15.31241,0.01829,-15.30658,0.21643,-0.314,0.95933,0.00875,0.97275,0.99674,0.99674,-0.972,0.972,0.0,0.00119,-5.0,4
1,-15.27505,0.02601,0.0601,653.0,229.08806,-15.31508,0.0601,-15.29128,0.45392,-0.30667,0.93867,0.011,0.964,0.99617,0.99617,-0.966,0.966,0.0,0.00392,-5.0,4
2,-15.29281,0.01672,0.01393,698.0,242.4293,-15.31457,0.01393,-15.30643,0.27497,-0.32333,0.97267,0.00475,0.98475,0.9978,0.9978,-0.984,0.984,0.0,0.00091,-5.0,4
3,-15.30221,0.00912,0.07053,711.0,249.69374,-15.30867,0.07053,-15.30415,0.08676,-0.31533,0.95533,0.00875,0.97275,0.99473,0.99473,-0.97067,0.97067,0.0,0.00461,-5.0,4
4,-15.28995,0.01323,0.02388,733.0,253.52178,-15.30929,0.02388,-15.30084,0.21545,-0.32467,0.97267,0.00475,0.98475,0.99524,0.99524,-0.98333,0.98333,0.0,0.00156,-5.0,4
5,-15.28944,0.0155,0.02408,669.0,232.8212,-15.31481,0.02408,-15.31046,0.09009,-0.316,0.95867,0.008,0.975,0.99456,0.99456,-0.97267,0.97267,0.0,0.00157,-5.0,4
6,-15.29113,0.01827,0.06704,674.0,235.59231,-15.31284,0.06704,-15.2889,0.38269,-0.31533,0.962,0.00675,0.97475,0.99362,0.99362,-0.97667,0.97667,0.0,0.00438,-5.0,4
7,-15.28781,0.02085,0.0693,712.0,245.72088,-15.31006,0.0693,-15.28035,0.45141,-0.32,0.968,0.0055,0.9775,0.99671,0.99671,-0.97867,0.97867,0.0,0.00453,-5.0,4
8,-15.29495,0.0129,0.02782,698.0,241.39595,-15.31264,0.02782,-15.30643,0.15856,-0.324,0.972,0.005,0.982,0.99569,0.99569,-0.98133,0.98133,0.0,0.00182,-5.0,4
9,-15.29519,0.01319,0.02676,671.0,236.84287,-15.3042,0.02676,-15.30917,0.26409,-0.322,0.96333,0.00625,0.97925,0.99615,0.99615,-0.978,0.978,0.0,0.00175,-5.0,4
0,-14.98312,0.02464,0.03421,742.0,264.19571,-15.02414,0.03421,-15.0089,0.26624,-0.312,0.94933,0.008,0.972,0.99674,0.99674,-0.97467,0.97467,0.0,0.00228,-4.9,4
1,-15.00538,0.01084,0.03963,712.0,258.7316,-15.01366,0.03963,-15.0065,0.32302,-0.31533,0.95933,0.00825,0.97325,0.99617,0.99617,-0.972,0.972,0.0,0.00264,-4.9,4
2,-14.97071,0.03252,0.06464,660.0,239.11544,-15.02813,0.06464,-15.03227,0.60606,-0.314,0.96867,0.00825,0.97625,0.9978,0.9978,-0.97467,0.97467,0.0,0.0043,-4.9,4
3,-15.00927,0.00771,0.05732,711.0,264.78117,-15.01406,0.05732,-15.01304,0.09018,-0.31733,0.95733,0.009,0.972,0.99473,0.99473,-0.96867,0.96867,0.0,0.00382,-4.9,4
4,-14.9975,0.01265,0.02177,733.0,268.09127,-15.01531,0.02177,-15.00707,0.20381,-0.324,0.972,0.005,0.984,0.99524,0.99524,-0.98267,0.98267,0.0,0.00145,-4.9,4
5,-14.98185,0.02361,0.06072,647.0,235.2088,-15.02437,0.06072,-14.96311,0.6576,-0.30533,0.928,0.012,0.955,0.99456,0.99456,-0.95467,0.95467,0.0,0.00404,-4.9,4
6,-14.99962,0.01701,0.06571,674.0,245.67656,-15.0183,0.06571,-15.0025,0.2817,-0.314,0.95933,0.00775,0.97275,0.99362,0.99362,-0.97467,0.97467,0.0,0.00438,-4.9,4
7,-15.00892,0.00802,0.06227,752.0,268.5536,-15.01463,0.06227,-15.00079,0.29203,-0.32067,0.954,0.00775,0.97375,0.99671,0.99671,-0.972,0.972,0.0,0.00415,-4.9,4
8,-15.00286,0.01185,0.03967,698.0,246.53175,-15.01692,0.03967,-15.0148,0.13486,-0.324,0.97333,0.005,0.983,0.99569,0.99569,-0.982,0.982,0.0,0.00264,-4.9,4
9,-15.00203,0.0132,0.07415,680.0,241.62796,-15.0212,0.07415,-15.00249,0.36078,-0.31733,0.95867,0.008,0.973,0.99615,0.99615,-0.972,0.972,0.0,0.00494,-4.9,4
0,-14.71596,0.0122,0.01487,789.0,279.82268,-14.7251,0.01487,-14.71906,0.16588,-0.31133,0.954,0.00975,0.96975,0.99674,0.99674,-0.968,0.968,0.0,0.00101,-4.8,4
1,-14.69397,0.025,0.06375,655.0,228.91319,-14.72445,0.06375,-14.71695,0.24571,-0.31533,0.95,0.00875,0.97075,0.99617,0.99617,-0.97,0.97,0.0,0.00433,-4.8,4
2,-14.68311,0.02834,0.05804,660.0,232.16936,-14.73537,0.05804,-14.73808,0.56421,-0.31667,0.97,0.00775,0.97775,0.9978,0.9978,-0.976,0.976,0.0,0.00394,-4.8,4
3,-14.71546,0.00804,0.0684,704.0,245.60123,-14.72376,0.0684,-14.71402,0.1222,-0.316,0.96267,0.0075,0.9735,0.99473,0.99473,-0.974,0.974,0.0,0.00465,-4.8,4
4,-14.70596,0.01207,0.0306,738.0,256.84606,-14.72208,0.0306,-14.71155,0.20769,-0.31667,0.96067,0.00675,0.97775,0.99524,0.99524,-0.97867,0.97867,0.0,0.00208,-4.8,4
5,-14.69268,0.02301,0.05559,647.0,224.80066,-14.73169,0.05559,-14.68826,0.51257,-0.306,0.93133,0.01175,0.95775,0.99456,0.99456,-0.95733,0.95733,0.0,0.00377,-4.8,4
6,-14.70728,0.01523,0.06535,674.0,237.46353,-14.7247,0.06535,-14.7086,0.2777,-0.314,0.95933,0.00725,0.97325,0.99362,0.99362,-0.976,0.976,0.0,0.00444,-4.8,4
7,-14.70689,0.02425,0.03229,714.0,248.03351,-14.72238,0.03229,-14.71348,0.20525,-0.31733,0.952,0.0095,0.9685,0.99671,0.99671,-0.96533,0.96533,0.0,0.00219,-4.8,4
8,-14.71224,0.01021,0.03033,698.0,242.26653,-14.72358,0.03033,-14.72189,0.12508,-0.32333,0.97267,0.00525,0.98225,0.99569,0.99569,-0.98067,0.98067,0.0,0.00206,-4.8,4
9,-14.71067,0.00947,0.0639,674.0,238.6626,-14.71521,0.0639,-14.71216,0.12256,-0.316,0.96533,0.007,0.977,0.99615,0.99615,-0.978,0.978,0.0,0.00434,-4.8,4
0,-14.42283,0.00733,0.05351,711.0,233.45322,-14.42699,0.05351,-14.42726,0.11219,-0.31467,0.948,0.01,0.968,0.99473,0.99473,-0.966,0.966,0.0,0.00371,-4.7,4
1,-14.41379,0.01045,0.03277,738.0,252.82584,-14.42887,0.03277,-14.41837,0.19776,-0.316,0.95867,0.007,0.977,0.99524,0.99524,-0.978,0.978,0.0,0.00227,-4.7,4
2,-14.41615,0.01278,0.02745,671.0,220.40733,-14.43157,0.02745,-14.42982,0.09265,-0.31733,0.96267,0.008,0.975,0.99456,0.99456,-0.974,0.974,0.0,0.0019,-4.7,4
3,-14.41625,0.01339,0.03017,674.0,222.32176,-14.43104,0.03017,-14.41072,0.28668,-0.314,0.95133,0.00775,0.96975,0.99362,0.99362,-0.97333,0.97333,0.0,0.00209,-4.7,4
4,-14.41101,0.01968,0.06468,712.0,233.27075,-14.42997,0.06468,-14.41467,0.23175,-0.31867,0.96533,0.006,0.977,0.99671,0.99671,-0.97867,0.97867,0.0,0.00448,-4.7,4
5,-14.4202,0.00934,0.02546,698.0,230.3516,-14.43059,0.02546,-14.4281,0.11476,-0.32333,0.97133,0.00525,0.98125,0.99569,0.99569,-0.98,0.98,0.0,0.00176,-4.7,4
6,-14.42248,0.00738,0.06249,689.0,225.97137,-14.4334,0.06249,-14.42828,0.06332,-0.314,0.96333,0.00825,0.97425,0.99615,0.99615,-0.97133,0.97133,0.0,0.00433,-4.7,4
7,-14.41101,0.01968,0.06468,712.0,236.1957,-14.42997,0.06468,-14.41467,0.23175,-0.31867,0.96533,0.006,0.977,0.99671,0.99671,-0.97867,0.97867,0.0,0.00448,-4.7,4
8,-14.4202,0.00934,0.02546,698.0,229.29935,-14.43059,0.02546,-14.4281,0.11476,-0.32333,0.97133,0.00525,0.98125,0.99569,0.99569,-0.98,0.98,0.0,0.00176,-4.7,4
9,-14.42248,0.00738,0.06249,689.0,229.29335,-14.4334,0.06249,-14.42828,0.06332,-0.314,0.96333,0.00825,0.97425,0.99615,0.99615,-0.97133,0.97133,0.0,0.00433,-4.7,4
0,-14.13185,0.01133,0.01551,789.0,259.45061,-14.13962,0.01551,-14.13949,0.01711,-0.30733,0.95,0.01125,0.96625,0.99674,0.99674,-0.964,0.964,0.0,0.0011,-4.6,4
1,-14.12734,0.0101,0.03707,714.0,234.14802,-14.13571,0.03707,-14.25858,3.89153,-0.314,0.95667,0.00875,0.97475,0.99617,0.99617,-0.97333,0.97333,0.0,0.00262,-4.6,4
2,-14.12624,0.0123,0.01246,698.0,228.93238,-14.14022,0.01246,-14.13258,0.18537,-0.322,0.96867,0.00525,0.98225,0.9978,0.9978,-0.98133,0.98133,0.0,0.00088,-4.6,4
3,-14.13013,0.00846,0.04975,688.0,225.58779,-14.13811,0.04975,-14.1267,0.23181,-0.31333,0.936,0.0105,0.9645,0.99473,0.99473,-0.96333,0.96333,0.0,0.00352,-4.6,4
4,-14.12141,0.01031,0.02884,738.0,242.00308,-14.13594,0.02884,-14.12595,0.18738,-0.316,0.95867,0.007,0.977,0.99524,0.99524,-0.978,0.978,0.0,0.00204,-4.6,4
5,-14.11754,0.02301,0.03098,651.0,212.52555,-14.14557,0.03098,-14.10417,0.576,-0.30867,0.938,0.01125,0.96025,0.99456,0.99456,-0.95667,0.95667,0.0,0.00219,-4.6,4
6,-14.13122,0.00818,0.0624,706.0,230.62878,-14.13743,0.0624,-14.13435,0.12685,-0.32733,0.97933,0.00425,0.98425,0.99362,0.99362,-0.982,0.982,0.0,0.00441,-4.6,4
7,-14.12038,0.01712,0.03657,714.0,233.70855,-14.13418,0.03657,-14.13392,0.19703,-0.318,0.95,0.00975,0.96775,0.99671,0.99671,-0.96467,0.96467,0.0,0.00259,-4.6,4
8,-14.12888,0.00863,0.02021,698.0,228.4743,-14.13842,0.02021,-14.13904,0.02994,-0.32267,0.972,0.0055,0.9815,0.99569,0.99569,-0.98,0.98,0.0,0.00143,-4.6,4
9,-14.12977,0.00702,0.06917,689.0,225.26365,-14.13997,0.06917,-14.13316,0.10283,-0.31467,0.95867,0.008,0.973,0.99615,0.99615,-0.97333,0.97333,0.0,0.00489,-4.6,4
0,-13.83757,0.01279,0.06496,777.0,254.83421,-13.84639,0.06496,-13.83535,0.21735,-0.31867,0.956,0.008,0.972,0.99674,0.99674,-0.97,0.97,0.0,0.00469,-4.5,4
1,-13.83488,0.00732,0.03066,705.0,231.32162,-13.84205,0.03066,-13.83667,0.219,-0.31333,0.95733,0.01,0.969,0.99617,0.99617,-0.96667,0.96667,0.0,0.00221,-4.5,4
2,-13.81466,0.02402,0.03623,660.0,216.89429,-13.8561,0.03623,-13.86269,0.64931,-0.31533,0.966,0.00825,0.97525,0.9978,0.9978,-0.974,0.974,0.0,0.00261,-4.5,4
3,-13.8387,0.00763,0.05456,684.0,224.44515,-13.84608,0.05456,-13.83404,0.202,-0.31267,0.958,0.00825,0.97125,0.99473,0.99473,-0.97267,0.97267,0.0,0.00394,-4.5,4
4,-13.8289,0.01074,0.02691,738.0,242.17672,-13.84236,0.02691,-13.83318,0.17317,-0.31533,0.95133,0.00825,0.97325,0.99524,0.99524,-0.97333,0.97333,0.0,0.00194,-4.5,4
5,-13.82438,0.0195,0.03024,651.0,213.6174,-13.84925,0.03024,-13.81906,0.43833,-0.30867,0.94067,0.01025,0.96325,0.99456,0.99456,-0.96267,0.96267,0.0,0.00218,-4.5,4
6,-13.84412,0.02756,0.05294,710.0,232.0733,-13.84642,0.05294,-13.87048,0.8352,-0.31467,0.964,0.009,0.974,0.99362,0.99362,-0.97,0.97,0.0,0.00382,-4.5,4
7,-13.8375,0.00879,0.05281,746.0,244.30078,-13.84068,0.05281,-13.83903,0.34166,-0.31533,0.95667,0.00875,0.97175,0.99671,0.99671,-0.968,0.968,0.0,0.00382,-4.5,4
8,-13.82914,0.014,0.05865,672.0,219.60237,-13.8525,0.05865,-13.84652,0.16304,-0.312,0.948,0.011,0.965,0.99569,0.99569,-0.964,0.964,0.0,0.00423,-4.5,4
9,-13.83866,0.00599,0.05149,693.0,226.41974,-13.845,0.05149,-13.84105,0.09423,-0.31267,0.954,0.00875,0.97075,0.99615,0.99615,-0.96933,0.96933,0.0,0.00372,-4.5,4
0,-13.54569,0.01246,0.02712,773.0,252.18826,-13.55637,0.02712,-13.54765,0.18218,-0.312,0.948,0.009,0.971,0.99674,0.99674,-0.96933,0.96933,0.0,0.002,-4.4,4
